image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
169.jpg,2021-06-05,Caleb Maupin,The 2016 Elections and the Crisis of American Liberalism,,,,,pending,17900690776916999.jpg
170.jpg,2021-06-02,Samir Amin,Empire of Chaos,,,,,edition-needs-cover-check,18174414733136490.jpg
171.jpg,2021-05-27,Herbert Aptheker,The Urgency of Marxist-Christian Dialogue,Harper & Row,,,,pre-isbn,17905796728832804.jpg
172.jpg,2021-05-15,Karl Marx and Friedrich Engels,The Civil War in the United States,,,,,edition-needs-cover-check,17900971543964553.jpg
173.jpg,2021-05-12,Karl Marx,The Eighteenth Brumaire of Louis Bonaparte,,,,,edition-needs-cover-check,17851989839571077.jpg
174.jpg,2021-05-09,Anna Louise Strong,The Stalin Era,,,,,edition-needs-cover-check,17917180882722993.jpg
175.jpg,2021-05-04,V. I. Lenin,The State and Revolution,Penguin Classics,1993,9780140184358,014018435X,verified-paperback,18082250497265072.jpg
176.jpg,2021-05-03,Herbert Aptheker,The Negro in the Civil War,International Publishers,,,,pre-isbn,17935263625519209.jpg
177.jpg,2021-05-02,Herbert Aptheker,The Negro in the American Revolution,International Publishers,,,,pre-isbn,17882933555155255.jpg
178.jpg,2021-04-28,Herbert Aptheker,Negro Slave Revolts in the United States 1526-1860,International Publishers,,,,pre-isbn,17867899055386405.jpg
179.jpg,2021-04-26,Herbert Aptheker,The Negro People in America,International Publishers,,,,pre-isbn,17900625601916449.jpg
180.jpg,2021-04-24,Joseph Stalin,Mastering Bolshevism,New Century Publishers,,,,pre-isbn,18162563446123324.jpg
181.jpg,2021-04-22,V. I. Lenin,The Three Sources and Three Component Parts of Marxism,,,,,pre-isbn,17923996909578939.jpg
182.jpg,2021-04-16,Paul Fussell,Poetic Meter and Poetic Form,Random House,1965,9780394321202,0394321200,probable-edition,17871566822379038.jpg
183.jpg,2021-04-12,Robert A. Hall Jr.,Linguistics and Pseudo-Linguistics,John Benjamins Publishing Company,1987,9789027235497,902723549X,verified-edition,17896518604960654.jpg
184.jpg,2021-04-03,Ian Robinson,The New Grammarians' Funeral: A Critique of Noam Chomsky's Linguistics,Cambridge University Press,1975,,0521208564,edition-needs-format-check,17863154009431487.jpg
185.jpg,2021-03-30,J. Peters,The Communist Party: A Manual of Organization,,,,,edition-needs-cover-check,17939609401478622.jpg
186.jpg,2021-03-27,Eldridge Cleaver,Soul on Ice,,,,,edition-needs-cover-check,18075336934268158.jpg
187.jpg,2021-03-27,A. R. Luria,Scientific Perspectives and Philosophical Dead Ends in Modern Linguistics,,,,,article-no-isbn,17878216532295094.jpg
188.jpg,2021-03-27,Robert de Beaugrande,Performative Speech Acts in Linguistic Theory: The Rationality of Noam Chomsky,,,,,article-no-isbn,17988725425340334.jpg
189.jpg,2021-03-19,Michael Sayers and Albert E. Kahn,The Plot Against the Peace,,,,,edition-needs-cover-check,17857091258488120.jpg
190.jpg,2021-03-17,Michael Sayers and Albert E. Kahn,Sabotage! The Secret War Against America,Harper & Brothers,,,,pre-isbn,17973829081367833.jpg
191.jpg,2021-03-10,Philip S. Foner,The Black Panthers Speak,J. B. Lippincott Company,1970,9780397006366,0397006365,verified-paperback,18132205951199380.jpg
192.jpg,2021-03-03,George Jackson,Soledad Brother: The Prison Letters of George Jackson,Lawrence Hill Books,1994,9781556522307,1556522304,verified-paperback,17874898193189210.jpg
193.jpg,2021-02-26,George L. Jackson,Blood in My Eye,,,,,edition-needs-cover-check,17901457222773872.jpg
194.jpg,2021-02-17,Rudolf P. Botha,Challenging Chomsky: The Generative Garden Game,Wiley,1991,9780631180272,0631180273,verified-softcover,18141022642182006.jpg
195.jpg,2021-02-16,Grover Furr,The Fraud of the Dewey Commission: Leon Trotsky's Lies,,,,,edition-needs-cover-check,17889495115956229.jpg
196.jpg,2021-02-12,M. J. Olgin,Trotskyism: Counter-Revolution in Disguise,,,,,edition-needs-cover-check,17906356666680079.jpg
197.jpg,2021-02-05,Michael Sayers and Albert E. Kahn,The Great Conspiracy,,,,,edition-needs-cover-check,17916200695560517.jpg
198.jpg,2021-01-30,Maxim Gorky,Mother,Progress Publishers,,,,edition-needs-cover-check,17910813754613888.jpg
199.jpg,2021-01-17,,History of the Communist Party of the Soviet Union (Bolsheviks): Short Course,,,,,edition-needs-cover-check,17906128741630264.jpg
200.jpg,2021-01-15,Caleb Maupin,Getting Rich Without Capitalism: America's Way Out,,,,,pending,17892524758849443.jpg
201.jpg,2021-01-07,John Patrick Leary,Keywords: The New Language of Capitalism,Haymarket Books,2019,9781608469628,160846962X,verified-paperback,17982006757328210.jpg
202.jpg,2021-01-06,Zara Witkin,"An American Engineer in Stalin's Russia: The Memoirs of Zara Witkin, 1932-1934",,,,,edition-needs-cover-check,18186253141004042.jpg
203.jpg,2020-12-28,Anna Louise Strong,I Change Worlds: The Remaking of an American,Garden City Publishing,,,,pre-isbn,18131857228176372.jpg
204.jpg,2020-12-14,Robert Tressell,The Ragged Trousered Philanthropists,,,,,edition-needs-cover-check,17887374694826428.jpg
205.jpg,2020-12-02,Caleb Maupin,City Builders and Vandals in Our Age: Articles and Essays on Socialism,,,,,pending,18095393692206863.jpg
206.jpg,2020-11-23,Robert de Beaugrande and Wolfgang Dressler,Introduction to Text Linguistics,Longman,1981,9780582554863,0582554861,verified-edition,18077616400242693.jpg
207.jpg,2020-11-22,Caleb Maupin,Oil and the Global Capitalist Crisis,,,,,pending,17870656490097096.jpg
208.jpg,2020-11-09,Barbara Foley,Marxist Literary Criticism Today,Pluto Press,2019,9780745338835,0745338836,verified-paperback,18082837456218708.jpg
209.jpg,2020-11-05,Paul R. Halmos,Naive Set Theory,,,,,edition-needs-cover-check,18172232359058972.jpg
210.jpg,2020-10-31,Earl Browder,Teheran: Our Path in War and Peace,International Publishers,,,,pre-isbn,17854990097298272.jpg
211.jpg,2020-10-24,Barbara Hall Partee,Fundamentals of Mathematics for Linguistics,,,,,edition-needs-cover-check,17847425567394405.jpg
212.jpg,2020-10-19,Scott H. Young,Ultralearning: Master Hard Skills Outsmart the Competition and Accelerate Your Career,Harper Business,2019,9780062852687,006285268X,verified-hardcover,17894403181647389.jpg
213.jpg,2020-10-11,Caleb T. Maupin,Kamala Harris and the Future of America,,,,,pending,17872817875945601.jpg
214.jpg,2020-10-04,M. M. Bakhtin,Speech Genres and Other Late Essays,University of Texas Press,1987,9780292775602,0292775601,verified-paperback,17904787885526797.jpg
215.jpg,2020-09-26,Olga Temple,Genusutra: A Course in Dialectical Linguistics,,,,,pending,17844007262399643.jpg
216.jpg,2020-09-24,Caleb Maupin,The Rise and Fall of the U.S. Communist Party,,,,,pending,17853876194284062.jpg
