image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
001.jpg,2026-08-02,Russell Banks,Cloudsplitter,,,,,pending,17925934401389286.jpg
002.jpg,2026-06-25,Zhang Yingyu,The Book of Swindles: Selections from a Late Ming Collection,Columbia University Press,2017,9780231178631,0231178638,verified,18103278353035094.jpg
003.jpg,2026-06-23,Jack London,The Call of the Wild,,,,,pending,17904655212445618.jpg
004.jpg,2026-06-22,Charles F. Hockett,The State of the Art,,,,,pending,18141584038528056.jpg
005.jpg,2026-06-17,Pearl S. Buck,The Good Earth,Washington Square Press,,,,pending,18107633276072333.jpg
006.jpg,2026-06-10,Emily St. John Mandel,Station Eleven,,,,,pending,18329300416255328.jpg
007.jpg,2026-06-10,Leo Strauss,Persecution and the Art of Writing,University of Chicago Press,1988,9780226777115,0226777111,verified,18087431777530027.jpg
008.jpg,2026-06-09,John Reed,"Writings of John Reed: Ten Days that Shook the World, and Other Essays",,,,,pending,18097276103268827.jpg
009.jpg,2026-06-09,Michael Hudson,Super Imperialism: The Economic Strategy of American Empire,,,,,pending,17872401693523064.jpg
010.jpg,2026-04-09,Jeff Schuhrke,Blue-Collar Empire: The Untold Story of US Labor's Global Anticommunist Crusade,Verso,2024,9781839769054,183976905X,verified,18078366572423062.jpg
011.jpg,2026-01-22,Gabriel Rockhill,Who Paid the Pipers of Western Marxism?,Monthly Review Press,2025,9781685901349,1685901344,verified,18438988183129208.jpg
012.jpg,2026-01-13,Vadim Volkov,Violent Entrepreneurs: The Use of Force in the Making of Russian Capitalism,Cornell University Press,2002,9780801487781,0801487781,probable-paperback,18190208260353442.jpg
013.jpg,2025-11-17,Mozi,Mozi: Basic Writings,Columbia University Press,2003,9780231130011,0231130015,verified,18090912505914627.jpg
014.jpg,2025-11-07,A. S. Makarenko,The Road to Life: An Epic of Education,Foreign Languages Publishing House,,,,pending,17905953774272247.jpg
015.jpg,2025-09-16,Nikolai Ostrovsky,How the Steel Was Tempered,,,,,pending,17859026112478460.jpg
016.jpg,2025-06-17,Alan Alda,"If I Understood You, Would I Have This Look on My Face?: My Adventures in the Art and Science of Relating and Communicating",Random House Trade Paperbacks,2018,9780812989151,0812989155,verified,18047417726630420.jpg
017.jpg,2025-06-09,Nikolai Gogol,The Overcoat and Other Tales of Good and Evil,W. W. Norton & Company,1965,9780393003048,0393003043,verified,18087261754643462.jpg
018.jpg,2025-06-03,,The Knights of Jubilee,,,,,pending-identification,18008899388750225.jpg
019.jpg,2025-05-13,Raymond M. Smullyan,5000 B.C. and Other Philosophical Fantasies,St. Martin's Press,1984,9780312295172,0312295170,probable-paperback,17902653303178461.jpg
020.jpg,2025-05-10,Vladimir Nabokov,Lectures on Don Quixote,Harcourt Brace Jovanovich,1983,9780151495955,0151495955,edition-needs-cover-check,18009437753724986.jpg
021.jpg,2025-03-21,José Ortega y Gasset,Meditations on Quixote,,,,,pending,18056417669114088.jpg
022.jpg,2025-03-04,Steven Poole,"Unspeak: How Words Become Weapons, How Weapons Become a Message, and How That Message Becomes Reality",Grove Press,2007,9780802143051,0802143059,verified,18072621634796695.jpg
023.jpg,2025-02-07,Chris Bernhardt,Quantum Computing for Everyone,The MIT Press,2020,9780262539531,0262539535,verified,18081333916543406.jpg
024.jpg,2024-12-30,Herbert Aptheker,Early Years of the Republic: The Constitution 1783-1793,,,,,pending,18076202812623031.jpg
025.jpg,2024-12-12,Sergei Eisenstein,Film Form: Essays in Film Theory,,,,,edition-needs-cover-check,17941550201928385.jpg
026.jpg,2024-12-04,Domenico Losurdo,"Western Marxism: How It Was Born, How It Died, How It Can Be Reborn",Monthly Review Press,2024,9781685900632,1685900631,verified,17887715364116677.jpg
027.jpg,2024-11-20,Dmitry Orlov,Uncontrolled Chaos,,2024,,,no-isbn-found,18052700806784708.jpg
028.jpg,2024-11-04,Andrei Martyanov,America's Final War,Clarity Press,2024,9781949762976,1949762971,verified-paperback,17895348396015412.jpg
029.jpg,2024-10-18,Maurizio Torrealta and Emilio Del Giudice,The Secret of the Three Bullets: A New Generation of Micro-Nuclear Weapons Is on the Battlefield,TrineDay,2014,9781937584269,1937584267,verified,18048240565986276.jpg
030.jpg,2024-08-08,William Gibson,Neuromancer,,,,,edition-needs-cover-check,18013510778600522.jpg
031.jpg,2024-07-31,Vladimir Lincoln Armstrong,Invest Like a Communist: Revolutionize Your Stock Portfolio Through a Marxist Lens,Independently Published,2024,9798879655445,,verified,17998716824484313.jpg
032.jpg,2024-07-31,Joe Haldeman,The Forever War,,,,,edition-needs-cover-check,18046300345895124.jpg
033.jpg,2024-06-22,Carl Sandburg,Abraham Lincoln: The Prairie Years,,,,,edition-needs-volume-check,18027898342954523.jpg
